id,name,category,capital,language,religion,government,population,surface_km2,notes
portes_d_azrak,Les Portes d'Azrak,nation,Azrak,nain,,tribal,,,"Nation entièrement fermée derrière 10 portes fortifiées (Nord, Brameust, Melaran, Volcan, Niebel, Lâche, Orotrim, Waldnor, Gruduria, Sud) | Volcans actifs (cohérent avec forge naine) | Glaciers (commerce de glace concurrent des Vikings) | 33 villes recensées sur la carte régionale (cf. cities-from-maps.yaml) | Patrie principale des Nains (cf. bestiaire.yaml.nain.habitat) | Lac d'Herestos central"
stazyliss,Stazyliss,nation,,reptilien,dieux_hommes_lezards,tribal,,,"Patrie principale des Hommes-Lézards (cf. bestiaire.yaml.homme_lezard.habitat) | Visible sur cartes yonkado.jpg et irtanie.jpg (frontière entre Yonkado/Lounaxill) | Pacifique, isolationniste"
terres_sauvages,Les Terres Sauvages,wilderness,,multiple,dieux_gobelinoides,tribal,,,"Habitat principal des races sauvages (Orc, Ogre, Gobelin, Troll cf. bestiaire.yaml) | Zone du sud-est, frontière Dundoria/Yonkado | Cible récurrente des escarmouches Dundoriennes (cf. nations.yaml.dundoria)"
royaume_du_chaos,Royaume du Chaos,wilderness,,,chaotiques_puissances,anarchy,,,"Frontière nord de la Forêt de Tyrkan, des Terres du Nord et de Detre | Probablement habitat des Chaotiques Puissances (Kral, Athörn, Tennesse, Gereth, Makalès, Nosgler, Velenas — cf. religions.yaml) | Visible sur la carte mondiale et adjacent à Detre, Sombre Monde, Terres du Nord"
onarit,Onarit,nation,,,,,,,"Nord-est, derrière les Montagnes Grises | Adjacent à Treadur (NE des Collines d'Ico) | Adjacent à Irtanie (frontière nord)"
lounaxill,Lounaxill,nation,,,,,,,"Est, entre Cortega/Alteria et le Sombre Monde / Blanc Royaume | Origine connue de l'Opium (cf. catalogs/poisons via R-9.35) : 'centre de l'Irtanie, Lounaxill' | Origine narrative de la Mandragore (Hyoscyamine, cf. poisons.md) | Adjacent à Yonkado, Irtanie, Stazyliss"
ile_aux_basilics,L'Île aux Basilics,location,,,,,,,"Île au sud, entre Haut Royaume et Grand Désert | Habitat suggéré par le toponyme : créature `basilic` (à ajouter au bestiaire) | Probablement inhospitalière, visitée par chasseurs de monstres"
montagnes_grises,Les Montagnes Grises,mountain_range,,,,,,,"Chaîne montagneuse nord-est, frontière nord de Detre | Sépare Detre/Sombre Monde au sud du Royaume du Chaos au nord | Adjacent au Onarit"
treadur,Treadur,nation,,,,,,,Nord-est des Collines d'Ico | Adjacent à Onarit | Possible zone tampon ou sous-région
chez_nous,Chez Nous,nation,,,,,,,Frontière ouest de Fauche-le-Vent et nord du Haut Royaume | Visible sur fauche-le-vent.jpg et haut-royaume.jpg | Probable région-tampon ou nation indépendante
terres_sans_noms,Les Terres Sans Noms,wilderness,,,,,,,Visible à l'est de Cortega sur cortega.jpg | Adjacent au Grand Désert et aux Portes d'Azrak | Possible zone d'opération des assassins 'Sans Noms' (organisations.yaml.sans_noms) — origine du nom ?
