"id","name","value","familiar_cost_points","familiar_grant_points","is_handicap","activation","type","source_line","effect"
"armure-partielle","Armure partielle","2000","200","","False","Permanent","Neutre","2173","Si dans sa touche (après une éventuelle esquive), un adversaire ne dépasse pas le score d’armure partielle du personnage, son coups sera alors dévier automatiquement dans une partie d’armure que possède le personnage (la plus proche par rapport au coups donné). Par exemple, si un personnage à un score de 2 en armure partielle et qu’on la touche avec 3 réussites. Si celle-ci fait une réussite d’esquive, ses deux point d’armure partielle contre alors les deux réussites restante de son attaquant. Le coup sera alors dévié dans une pièce d’armure (ce pourrait aussi être dans un pendentif, ou autre)."
"art-de-la-charpente","Art de la charpente","2000","200","","False","Permanent","Classe","2174","Additionne le niveau au nombre de dés lorsque le personnage fait des travaux de charpenterie."
"art-de-la-chasse","Art de la chasse","2000","200","","False","Permanent","Classe","2175","Additionne le niveau au nombre de dès lorsque le personnage chasse."
"art-de-la-peche","Art de la pêche","2000","200","","False","Permanent","Classe","2176","Cet atout additionne le niveau au nombre de dès lorsque le personnage pêche."
"art-de-la-table","Art de la table","2000","200","","False","Permanent","Classe","2177","Additionne le niveau au nombre de dés lorsque le personnage fait des travaux liés à la restauration."
"art-de-la-vannerie","Art de la vannerie","2000","200","","False","Permanent","Classe","2178","Cet atout additionne le niveau au nombre de dès lorsque le personnage fait un travail de vannerie."
"art-de-recevoir","Art de recevoir","2000","200","","False","Permanent","Classe","2179","Additionne le niveau au nombre de dés lorsque le personnage fait des travaux d'hôtellerie."
"art-du-tonneau","Art du tonneau","2000","200","","False","Permanent","Classe","2180","Cet atout additionne le niveau au nombre de dès lorsque le personnage confectionne un tonneau."
"art-litteraire","Art littéraire","2000","200","","False","Permanent","Classe","2181","Additionne le niveau au nombre de dès lorsque le personnage écrit."
"art-occulte","Art occulte","2000","200","","False","Permanent","Neutre","2182","Le personnage peut choisir un sort de magie noire qu’il ajoute à sa feuille de personnage, comme s'il était magicien. Ce sort doit, bien sur être appris pour pouvoir être lancé. Le personnage débute avec un score de 0 dans le sort choisit (il peut donc le lancé juste avec ses points d’intelligence au début, puis payer des points supplémentaire dans le sort avec ses points d’expériences). Si le personnage ne possédait pas de point d’énergie, il débute avec un total de 40 points. Il peut aux mêmes conditions que les magiciens faire évoluer cette limite. Cet atout peut être cumulé pour permettre l’utilisation de plusieurs sorts."
"artisan-du-mensonge","Artisan du mensonge","2000","200","","False","Permanent","Neutre","2183","Diminue la difficulté d’un jet de mensonge de 1 par point dans cet atout."
"assassinat","Assassinat","2000","200","","False","Permanent","Classe","2184","Additionne le niveau au nombre de dés lorsque le personnage assassine quelqu’un."
"astre-regenerateur","Astre régénérateur","12000","1200","","False","Ephémère","Neutre","2185","Le personnage choisit un astre ainsi qu’un moment de la journée (par exemple le soleil de midi). Quand celui-ci regarde son astre au moment choisit, il récupère tous ses points de vitalité et perd toute trace fatigue."
"atterrissage","Atterrissage","4000","400","","False","Permanent","Neutre","2186","Le personnage peut amortir une chute de 1m par niveau sans être aucunement blessé à condition qu’il retombe sur ses jambes."
"attrait-du-gain","Attrait du gain","2000","200","","False","Permanent","Neutre","2187","Cet atout permet à un personnage d’ignorer un test de volonté lorsque son intérêt financier est en jeu."
"aube-meurtriere","Aube meurtrière","-5000","","500","True","Permanent","Neutre","2188","Les rayons de soleil brûlent le personnage comme le feraient des flammes."
"audition","Audition","2","0.2","","False","Permanent","Neutre","2189","L'audition est représentée en pourcentage, ce qui signifie qu’un homme en bonne forme possède une audition de 100%. Un personnage ayant 200% d'audition entendra donc deux fois mieux."
"aura-benefique","Aura bénéfique","8000","800","","False","Permanent","Neutre","2190","Le personnage dégage une aura qui empêche tout sort de magie noire d’être incantée sur un rayon d’un mètre par niveau, par un magicien d’un niveau inférieur."
"aura-magique","Aura magique","2000","200","","False","Ephémère","Neutre","2191","Le magicien peut manifester son énergie visuellement autour de lui sous la forme et la couleur la plus proche de sa magie. Par exemple, des éclairs parcourront le corp d'un élémentaliste de foudre."
"aura-malefique","Aura maléfique","8000","800","","False","Permanent","Neutre","2192","Le personnage dégage une aura qui empêche tout sort de magie blanche d’être incantée sur un rayon d’un mètre par niveau, par un magicien d’un niveau inférieur."
"auto-soin","Auto-soin","2000","200","","False","Ephémère","Neutre","2193","Soigne les blessures du personnage, par sa propre concentration. La vitalité ainsi récupérée est égale au niveau."
"autocombustion","Autocombustion","5000","500","","False","Ephémère","Neutre","2194","Le corps du personnage se met subitement à brûler. Ces flammes infligent 1 point de dégâts par point dans cet atout par DT au personnage ainsi qu'à tout ceux qui entrent en contact avec lui durant la durée de son autocombustion. Cet état dure 1 minute par niveau."
"autodidacte","Autodidacte","3000","300","","False","Permanent","Neutre","2195","Le personnage peut apprendre par lui-même des sorts qu’il a vu et entendu incanter. Le temps d’apprentissage est le double du temps normal (moins le jet d’autodidacticité)."
"autoregeneration","Autorégénération","1500","150","","False","Permanent","Neutre","2196","Le corps du personnage se régénère de lui-même en permanence. Ses membres perdus repoussent et ses plaies se referment à vue d’œil. Tout les 10 DT, le personnage récupère un point de vitalité. Cet atout prend fin à la mort du personnage."
"aveugle","Aveugle","-5000","","500","True","Permanent","Neutre","2197","Le personnage est incapable de voir."
"baiser-de-la-nuit","Baiser de la nuit","1300","130","","False","Permanent","Neutre","2198","Le personnage peut faire boire à un humain, un peu de son sang vampirique pour transformer sa proie en goule. La quantité de sang nécéssaire à la transformation peut être ingérée en une ou plusieurs fois."
"baiser-des-tenebres","Baiser des ténèbres","2200","220","","False","Permanent","Neutre","2199","Le personnage peut, après avoir vider un humain d’une partie de son sang, lui faire boire de son sang vampirique pour transformer sa proie en vampire. Cette opération peut être faîte en une fois ou sur plusieurs nuits."
"baiser-purificateur","Baiser purificateur","10000","1000","","False","Ephémère","Neutre","2200","En embrassant la personne qu’il aime, le personnage peut dissiper tous les sorts actifs sur celle-ci."
"baiser-salvateur","Baiser salvateur","18000","1800","","False","Ephémère","Neutre","2201","En embrassant la personne qu’il aime, le personnage peut rendre la vie à celle-ci. La mort du personnage ramené ne doit pas être plus ancienne qu’une minute par niveau du personnage la ramenant."
"baiser-vivifiant","Baiser vivifiant","2000","200","","False","Ephémère","Neutre","2202","Le personnage peux rendre un nombre de point de vitalité égal à son niveau à la personne qu'il aime simplement en l'embrassant."
"beaute-desarmante","Beauté désarmante","4000","400","","False","Permanent","Neutre","2203","Le personnage radie d’une telle beauté que si quelqu’un (qui pourrait être attiré par lui) désire lui nuire, celui-ci doit faire un jet de volonté en le voyant avec une difficulté supplémentaire égale à l’esthétique – 5 du personnage possédant l’atout."
"bluff","Bluff","2000","200","","False","Permanent","Neutre","2204","Cet atout diminue la difficulté des jets de mensonge de 1."
"bonne-nuit","Bonne nuit","6000","600","","False","Ephémère","Neutre","2205","Le personnage peut de son regard endormir celui ou ceux (une personne par niveau) qui le croiseront, sous un jet de volonté avec comme difficulté supplémentaire le niveau du personnage."
"bouc-emissaire","Bouc émissaire","9000","900","","False","Ephémère","Neutre","2206","En regardant quelqu’un dans les yeux, le personnage peut manipuler son mental de manière à ce qu’il soit persuadé d’avoir commis un crime effectué par le personnage. C’est effet dure 1 jour par niveau."
"bouclier-des-arcanes","Bouclier des arcanes","9000","900","","False","Permanent","Neutre","2207","Le magicien peut à tout moment expulser l’énergie magique de son corps sous la forme d’une bulle protectrice prenant la teinte de la magie du lanceur. Ce bouclier se développe en 1 DT et peut être dissipé à n’importe quel moment. Durant cette période, le magicien acquiert une protection totale égale à son niveau. Le bouclier des arcanes coûte 1 point d’énergie par DT. Notons encore qu’il ne s’agit pas là d’un sort, mais d’un atout, ce qui permet de l’utiliser en incantant un autre sort par exemple."
"boussole-interne","Boussole interne","2000","200","","False","Permanent","Classe","2208","Additionne le niveau au nombre de dés lors d’un jet d’orientation."
"brulure-de-l-argent","Brûlure de l’argent","-100","","10","True","Permanent","Neutre","2209","Annule l’autorégénération lorsque le personnage est blessé par de l’argent. Ce type de blessures guérit normalement."
"brumathropie","Brumathropie","2600","260","","False","Permanent","Neutre","2210","Permet au personnage de se changer en brume. La transformation prend 50 DT. Cette forme brumeuse prend grossièrement la forme du personnage et quelqu’un d’attentif pourra le détecter."
"brume","Brume","3000","300","","False","Ephémère","Neutre","2211","Le personnage peut embrumer autour de lui dans un rayon étant égal à son niveau. Celui-ci n’a aucune pénalité de vision dans sa propre brume."
"cachette-secrete","Cachette secrète","4000","400","","False","Ephémère","Neutre","2212","Le personnage peut faire disparaître un objet (n’étant pas plus grand que lui) pendant une minute par niveau. Passé ce délai, l’objet tombe à terre des vêtements du personnage. Durant le laps de temps de disparition, l'objet demeurera introuvable."
"caresse-charnelle","Caresse charnelle","2000","200","","False","Permanent","Classe","2213","Additionne le niveau au nombre de dés lors d’un jet de sexualité."
"cerebralite","Cérébralité","2000","200","","False","Permanent","Neutre","2214","Le personnage peut décider de parler avec un langage cérébral et incompréhensible au commun des mortels en faisant maintes métaphores et autres jeux de langage à chacun de ses mots, si bien que seul ceux qui possèdent cet atout peuvent se comprendre entre eux. Les personnages doivent néanmoins parler la même langue."
"chance","Chance","2000","200","","False","Ephémère","Neutre","2215","Le joueur peut refaire (ou faire refaire), un jet directement lié à son personnage."
"chant-envoutant","Chant envoûtant","500","50","","False","Permanent","Neutre","2216","Lorsque le personnage se met à chanter, les personnes autour de lui doivent faire un test de volonté pour ne pas être séduites (difficulté +1 par niveau du chanteur). Cet état se dissipe lentement après le chant (1 heure par réussite)."
"charme-tenebreux","Charme ténébreux","4000","400","","False","Permanent","Neutre","2217","Le personnage possède de par son côté obscur un charme surnaturel. Les personnes (de races « compatibles ») sont déstabilisées en sa présence et ajoute un malus égal au niveau du personnage à leur jet de volonté lorsque le personnage tente de les séduire."
"chiropterothropie","Chiroptèrothropie","1565","156.5","","False","Permanent","Neutre","2218","Le personnage possède la capacité de se transformer en chauve-souris. La transformation prend 50 DT (soit 10 secondes)."
"concentration","Concentration","2000","200","","False","Permanent","Neutre","2219","Le personnage peut décider de retarder son attaque, diminuant ainsi la difficulté de son jet pour toucher de 1 pour chaque DT supplémentaire accordé."
"conceptualisation","Conceptualisation","6000","600","","False","Permanent","Neutre","2220","Le personnage peut inventer de nouveaux sorts propre à sa magie. Le temps nécessaire à la création d’un nouveau sort est de 100 jours pour un sort de base moins le jet de conceptualisation. Ce nombre peut varier en fonction du sort recherché, à discretion du MJ."
"conceptualisation-etendue","Conceptualisation étendue","7000","700","","False","Permanent","Neutre","2221","Le personnage peut inventer de nouveau sort de n’importe quel type de magie. Le temps nécessaire à la création d’un nouveau sort est de 100 jours pour un sort de basse (moins le jet de conceptualisation) (ce nombre varie en fonction du sort recherché à discretion du MJ)."
"condition","Condition","3000","300","","False","Permanent","Neutre","2222","L'objet conçu avec une condition n'actionnera son effet magique que lorsque la condition imposée par celui qui l'a crée est remplie (par exemple une épée qui brille seulement en présence des orcs)."
"connaissance-de-l-ennemi","Connaissance de l’ennemi","5000","500","","False","Permanent","Neutre","2223","Le personnage n’oublie pas les ennemis qu’il a combattus et apprend de fois en fois un peu plus sur leurs techniques de combat respectives. Le personnage gagne un bonus de 1 sur les jets de dès qui entre en opposition avec ceux de son adversaire, pour chaque combat qu’il a déjà mené avec celui-ci. Ces points des bonus sont limités au score de connaissance de l’ennemi du personnage. Par exemple un personnage avec un score de 3 en connaissance de l’ennemi, qui a déjà combattu deux fois le même adversaire aura à présent une difficulté baissée de 2 lorsqu’il combattra à nouveau contre lui. Puis, cette difficulté sera baissée de 3 et ne montera pas plus haut tant que le niveau du personnage en « Connaissance de l’ennemi » ne dépasse pas 3."
"connaisseur","Connaisseur","3000","300","","False","Permanent","Neutre","2224","En goûtant, sentant, etc, le personnage est capable de citer les ingrédients d’une potion ou autre mixture. Il ne peut cependant déterminer que des ingrédients qu’il connaît et ne bénéficie pas d'information quant aux quantités."
"contagion","Contagion","2000","200","","False","Permanent","Neutre","2225","Le personnage est contagieux de par ses morsures ou éventuellement griffure. La maladie transmise est au choix du joueur ou maître de jeu. Pour ne pas tomber malade, la cible diot faire un jet d'endurance avec pour difficilté suppléementaire le nombre de point en « Contagion » du personnage."
"cordon-bleu","Cordon-bleu","2000","200","","False","Permanent","Classe","2226","Additionne le niveau au nombre de dés lorsque le personnage cuisine."
"corne-aux-mains","Corne aux mains","3000","300","","False","Permanent","Neutre","2227","Le personnage bénéficie d’une protection supplémentaire de 1 en P, E, C et T sur l'intérieure de ses mains."
"coup-de-crayon","Coup de crayon","2000","200","","False","Permanent","Classe","2228","Additionne le niveau au nombre de dés lorsque le personnage dessine."
"coup-de-pinceau","Coup de pinceau","2000","200","","False","Permanent","Classe","2229","Additionne le niveau au nombre de dés lorsque le personnage peint."
"coup-decisif","Coup décisif","2000","200","","False","Permanent","Classe","2230","Additionne le niveau au nombre de dés pour toucher, lorsque le personnage utilise son arme de prédilection."
"coup-du-bucheron","Coup du bûcheron","2000","200","","False","Permanent","Neutre","2231","Additionne 1 dégât automatique, lorsque le personnage utilise une cognée."
"coup-mortel","Coup mortel","3000","300","","False","Ephémère","Neutre","2232","Additionne automatiquement le niveau du personnage, aux dégâts infligés par celui-ci. Un seul coup mortel peut être porté à la fois."
"coupe-du-bois","Coupe du bois","2000","200","","False","Permanent","Classe","2233","Additionne le niveau au nombre de dés lorsque le personnage bûcheronne."
"coups-vicieux","Coups vicieux","2000","200","","False","Ephémère","Neutre","2234","Le personnage peut déduire son niveau à l’endurance de sa cible pour 1 action."
"cours-toujours","Cours toujours","4000","400","","False","Permanent","Neutre","2235","Lorsque le personnage prend la fuite, il additionne automatiquement son niveau à son nombre de réussites."
"court-repit","Court répit","2000","200","","False","Permanent","Neutre","2236","Le personnage réduit son temps de sommeil nécéssaire de 2 heures."
"crane-dur","Crâne dur","3000","300","","False","Permanent","Neutre","2237","Les dégâts infligés dans la tête ne sont pas doublés."
"cri-du-condamne","Cri du condamné","2000","200","","False","Ephémère","Neutre","2238","Lorsque le personnage frappe sa cible et que celle-ci émet un son de souffrance, les personnages à proximité pouvant entendre ce son, doivent effectuer un test de volonté (difficulté + les dégâts qui ont été infligés) pour ne pas être effrayés."
"cris-de-guerre","Cris de guerre","5000","500","","False","Permanent","Neutre","2239","Le personnage pousse un tel cri de guerre que ses compagnons (capable de l’entendre) se sentent galvanisés par celui-ci et obtiennent 1 dès supplémentaire pour tous leurs jets guerriers du combat en court."
"culture-generale","Culture générale","2000","200","","False","Permanent","Classe","2240","Additionne le niveau au nombre de dés lors d’un jet de connaissance."
"debordement-d-energie","Débordement d’énergie","5000","500","","False","Permanent","Neutre","2241","Cet atout permet au magicien de dépasser son propre quota d’énergie à l’aide de moyen auxiliaire tel que des potions d’énergie, des drains d’énergie, etc."
"defense","Défense","2000","200","","False","Permanent","Classe","2242","Additionne le niveau au nombre de dés lors d’un combat défensif avec l’arme de prédilection."
"dent-contre","Dent contre","2000","200","","False","Permanent","Neutre","2243","Cet atout est à choisir avec une race ou une classe. Il diminue la difficulté de 1, de tout jet pouvant nuire à la une cible appartenant au groupe choisi."
"dents-de-sabres","Dents de sabres","2000","200","","False","Permanent","Neutre","2244","Le personnage possède des crocs plus acérées et une mâchoire plus puissante. Une morsure de sa part fera un dégât supplémentaire par point dans cet atout."
"depassement-de-soi","Dépassement de soi","900","90","","False","Permanent","Neutre","2245","Le coût d’un point supplémentaire dans une aptitude, au delà de la limite physique est de NA x 15."
"deplacement-somnambule","Déplacement somnambule","1000","100","","False","Permanent","Neutre","2246","Le personnage peut continuer d'avancer tout en dormant. Un déplacement somnambule peu impliquer des notions fort simples tel que suivre quelque chose ou se diriger droit dans dans une direction donnée. Les opérations plus complexes comme éviter un obstacle ou choisir une nouvelle direction sont quant à elles impossibles dans cet état."
"desactivation","Désactivation","2000","200","","False","Permanent","Neutre","2247","Permet au magicien de désactiver à tout moment l'un de ces propre sort actif."
"desamorcage-des-pieges-magiques","Désamorçage des pièges magiques","3000","300","","False","Permanent","Neutre","2248","Le personnage peut désamorcer des pièges tendus magiquement en faisant un jet de désamorçage traditionnel."
"detection-des-coups-portants","Détection des coups portants","4000","400","","False","Permanent","Neutre","2249","Le personnage a une telle habitude du combat que son instinct lui indique automatiquement si un coup donné dans sa direction en corps à corps le touchera ou non. Le joueur peut donc savoir si son adversaire le touche avant de décider de son action (esquive, parade, continuer sa propre action, etc). Ne s’applique qu’aux coups donnés en corps à corps et visible par le personnage."
"detection-des-pieges-magiques","Détection des pièges magiques","3000","300","","False","Permanent","Neutre","2250","Le personnage peut détecter des pièges tendus magiquement en faisant un jet de détection traditionnel."
"detection-des-projectiles-portants","Détection des projectiles portants","5000","500","","False","Permanent","Neutre","2251","Le personnage à une telle habitude d’être sous les feux balistiques qu’il a développé un instinct lui indiquant si le projectile lui est ou non, destiné. Le joueur peut donc savoir si le projectile le touche avant de décider de son action (esquive, parade, continuer sa propre action, etc). La détection des projectiles portant ne s’applique qu’aux projectiles que le personnage peut voir."
"detection-du-defaut","Détection du défaut","2000","200","","False","Permanent","Neutre","2252","Le personnage peut savoir automatiquement le défaut d’un objet (ou son principal point faible) en observant celui-ci."
"developpement-avance","Développement avancé","5000","500","","False","Permanent","Neutre","2253","Le magicien peut développer et apprendre un sort qu’il possède en sort mineur, majeur, standard, de masse ou de distance. Le temps du développement dure le double du temps d’apprentissage du sort sur lequel travaille le personnage (moins le jet de développement)."
"developpement-magique","Développement magique","4000","400","","False","Permanent","Neutre","2254","Le magicien peut développer et apprendre un sort qu’il possède en sort mineur, majeur ou standard. Le temps du développement dure le double du temps d’apprentissage du sort sur lequel travaille le personnage (moins le jet de développement)."
"discretion","Discrétion","500","50","","False","Ephémère","Orientation","2255","Diminue la difficulté de 5 sur un jet de furtivité."
"disparition","Disparition","2000","200","","False","Ephémère","Neutre","2256","Le personnage peut se cacher quelque part, non loin de l’endroit où il utilise cet atout. Cette action se fait en une fraction de seconde (1DT), cependant, personne ne doit le regarder s’il veut pouvoir disparaître."
"dissimulation","Dissimulation","2000","200","","False","Permanent","Classe","2257","Additionne le niveau au nombre de dés lors d’un jet basé sur le camouflage."
"doigts-de-fee","Doigts de fée","4000","400","","False","Permanent","Neutre","2258","Diminue la difficulté d’un jet basé sur le doigté de 1 par point dans l’atout."
"domination-post-mortem","Domination post-mortem","1","0.1","","False","Permanent","Neutre","2259","Le personnage ajoute 5 à la catégorie maximal de créature qu’il peut relever lors d’un appel des morts."
"don-pour-les-langues","Don pour les langues","2000","200","","False","Permanent","Neutre","2260","Le personnage divise ses jours d’apprentissage par son niveau, lors de l’apprentissage d’une langue (arrondi au supérieur)."
"douleur-aigue","Douleur aigüe","2000","200","","False","Ephémère","Neutre","2261","Les blessures infligées par le personnage ne font pas plus de dégât, mais provoque le double de la douleur normale. Cet atout dure une minute par niveau."
"droit-unique-de-revocation","Droit unique de révocation","7000","700","","False","Permanent","Neutre","2262","Le magicien est le seul à pouvoir révoquer une invocation qu’il a lui-même faite. Si celui-ci devait mourir, aucune révocation ne serait plus possible pour les objets ou créatures transporter par le magicien."
"duel","Duel","2000","200","","False","Permanent","Classe","2263","Additionne le niveau au nombre de dés lors d’un duel."
"dulcinee","Dulcinée","3000","300","","False","Permanent","Neutre","2264","Cet atout est à choisir avec la dame des pensées du personnage. Lorsque celui-ci combat sous le regard de sa dulcinée, son niveau lui est accordé en dès supplémentaire pour toutes ses actions. Cet atout se lit au féminin comme au masculin."
"eau-benite","Eau bénite","2000","200","","False","Permanent","Neutre","2265","L’eau bénite par le personnage inflige 1 point de dégât (endurable) aux adorateurs opposés à sa foi."
"echappee-belle","Echappée belle","4000","400","","False","Ephémère","Neutre","2266","Le personnage peut déduire son niveau au nombre de réussites obtenues par un autre personnage, lorsque ce dernier entreprend une action contre lui."
"effet-apeurant","Effet apeurant","4000","400","","False","Permanent","Neutre","2267","Le personnage a la capacité de  créer des œuvres ou objets étrangement malsains. Les personnages désirant s’en approcher doivent réussir un test de volonté."
"effet-de-lumiere","Effet de lumière","3000","300","","False","Permanent","Neutre","2268","Permet de fabriquer des objets qui brillent plus ou moins en fonction du niveau de l’artisan au moment où il l’a conçu (la couleur, sera la plus approprier à l’objet)."
"effet-sonore","Effet sonore","3000","300","","False","Permanent","Neutre","2269","Permet de fabriquer des objet qui émettent un bruit plus ou moins fort en fonction du niveau de l’artisan, au moment ou il l’a conçu (le son, sera le plus approprier à l’objet)."
"elaboration","Elaboration","2000","200","","False","Permanent","Neutre","2270","Permet d’élaborer une arme faisant 1 dégât supplémentaire à une race choisie. Celle-ci est sélectionnée par l’artisan lorsqu’il crée l’arme."
"elementaliste-de-l-element","Elémentaliste de l’élément","10000","1000","","False","Permanent","Neutre","2271","L’élémentaliste possède un tel degré d’affinité avec l’élément dont il est enfant que tous les sorts de cet élément voient leur difficulté baisser de 1. Par exemple, un élémentaliste de feu lancera avec un bonus de 1 les sorts de feu."
"elevage","Elevage","0","","","False","Permanent","Classe","2272","Additionne le niveau au nombre de dés lorsque le personnage élève ses animaux de prédilections."
"energie-a-l-honneur","Energie à l’honneur","4000","400","","False","Ephémère","Neutre","2273","Le personnage teint l’air qui l’entoure, de la couleur de sa magie dans un rayon égal à son niveau en mètre. Dans cet environnement les sorts de la magie à l’honneur voient leurs difficultés baissées de 1 pendant 10 minutes/niveau. Mettre une énergie à l’honneur prend 10DT non réductible."
"energie-au-deshonneur","Energie au déshonneur","4000","400","","False","Ephémère","Neutre","2274","Une vague jaune d’énergie s’extirpe du personnage en chassant une autre couleur dans un rayon égal au niveau du magicien en mètre. Dans cet environnement, tout sort lancé de la magie au déshonneur (choisie par le magicien lorsqu’il active son atout) verra sa difficulté augmenter de 1 pendant 10 minutes/niveau. Mettre une énergie au déshonneur prend 10DT non réductible."
"energie-latente","Energie latente","2000","200","","False","Permanent","Neutre","2275","Chaque fois que le personnage passe le niveau, son niveau en « Energie latente » multiplié par 3 est ajouté à ses points d'énergie."
"enfant-de-la-nature","Enfant de la nature","2000","200","","False","Permanent","Neutre","2276","La nature reconnaît dans le personnage un de ses enfants. Ainsi, les végétaux se tordent pour aider le personnage, les racines se retirent devant ses pieds, les branches des arbres le protègent de la pluie et du soleil, etc."
"enfant-de-l-element","Enfant de l’élément","4000","400","","False","Permanent","Neutre","2277","Cet atout est à choisir avec un élément (eau, feu, terre, pierre, glace, air, etc) Les éléments sont toujours matériels (pas d’ombre ou de lumière par exemple). L’élément reconnaît dans le personnage l'un des siens. Ainsi, cet élément se tordra, se déformera, se déplacera, etc pour aider le personnage. Par exemple un fils du feu passera dans des flammes sans être brûler car celles-ci s’écarteront de lui pour ne pas lui faire de mal (ce qui ne le protège pas de la chaleur ni de la fumée toutefois).  Un personnage ne peut être l’enfant de plusieurs éléments."
"enseignement-efficace","Enseignement efficace","2000","200","","False","Permanent","Neutre","2278","Le personnage additionne automatiquement son niveau au nombre de réussites qu’il effectue lors d’un jet d’enseignement."
"epaules-solides","Epaules solides","2000","200","","False","Permanent","Neutre","2279","Le personnage peut porter 1kg supplémentaire par niveau sans être gêné par le poids."
"epuration","Epuration","10000","1000","","False","Permanent","Neutre","2280","Le personnage prend 1 dé supplémentaire pour toutes les actions visant à nuire à un sorcier."
"equilibre-controle","Equilibre contrôlé","450","45","","False","Permanent","Neutre","2281","Le personnage possède un sens inné de l’équilibre et diminue la difficulté de touts les jets basés sur l’équilibre de 3."
